arquivo,antena,unidade,teste,ensaio,tempo_s,status,latencia_ms,rssi_link_dbm,channel_burst,bssid_burst
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,200.675,OK,6.76,-45.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,204.822,OK,5.4,-45.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,208.982,OK,9.95,-44.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,213.119,OK,5.19,-45.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,217.297,OK,12.24,-45.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,221.471,OK,8.86,-44.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,225.612,OK,6.58,-45.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,229.89,OK,4.02,-44.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,234.074,OK,13.11,-43.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,238.229,OK,11.27,-44.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,242.387,OK,6.91,-44.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,246.542,OK,6.29,-44.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,250.676,OK,4.95,-43.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,254.817,OK,5.31,-44.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,258.956,OK,3.45,-45.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,263.092,OK,4.39,-45.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,267.282,OK,11.51,-43.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,271.427,OK,5.36,-46.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,275.571,OK,4.32,-44.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,279.742,OK,9.92,-45.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,283.919,OK,8.2,-43.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,288.054,OK,3.34,-43.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,292.209,OK,3.96,-43.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,296.495,OK,3.26,-44.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,300.633,OK,7.31,-44.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,305.034,OK,53.86,-43.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,309.233,OK,13.04,-43.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,313.409,OK,11.75,-43.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,317.568,OK,7.91,-43.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,321.773,OK,6.6,-43.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,325.92,OK,5.84,-44.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,330.081,OK,10.75,-49.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,334.215,OK,4.24,-49.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,338.371,OK,7.94,-53.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,342.508,OK,4.03,-51.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,346.633,OK,3.15,-49.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,350.808,OK,11.53,-48.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,354.944,OK,3.41,-48.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,359.097,OK,7.76,-48.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,363.362,OK,3.03,-61.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,367.499,OK,3.65,-48.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,371.635,OK,6.65,-48.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,375.775,OK,6.93,-49.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,379.911,OK,4.29,-49.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,384.288,OK,54.41,-52.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,388.485,OK,15.5,-51.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,392.628,OK,5.82,-53.0,11,84:0B:BB:2A:35:70
