fase,antena,unidade,cenario,teste,arquivo,sample_idx,rssi
Fase 1,A0,U1,BASE,T1,A0_R1.txt,123,-45
Fase 1,A0,U1,BASE,T1,A0_R1.txt,124,-46
Fase 1,A0,U1,BASE,T1,A0_R1.txt,125,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,126,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,127,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,128,-46
Fase 1,A0,U1,BASE,T1,A0_R1.txt,129,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,130,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,131,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,132,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,133,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,134,-45
Fase 1,A0,U1,BASE,T1,A0_R1.txt,135,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,136,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,137,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,138,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,139,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,140,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,141,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,142,-45
Fase 1,A0,U1,BASE,T1,A0_R1.txt,143,-45
Fase 1,A0,U1,BASE,T1,A0_R1.txt,144,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,145,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,146,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,147,-42
Fase 1,A0,U1,BASE,T1,A0_R1.txt,148,-46
Fase 1,A0,U1,BASE,T1,A0_R1.txt,149,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,150,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,151,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,152,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,153,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,154,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,155,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,156,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,157,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,158,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,159,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,160,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,161,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,162,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,163,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,164,-45
Fase 1,A0,U1,BASE,T1,A0_R1.txt,165,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,166,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,167,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,168,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,169,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,170,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,171,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,172,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,173,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,174,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,175,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,176,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,177,-45
Fase 1,A0,U1,BASE,T1,A0_R1.txt,178,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,179,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,180,-45
Fase 1,A0,U1,BASE,T1,A0_R1.txt,181,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,182,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,183,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,184,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,185,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,186,-45
Fase 1,A0,U1,BASE,T1,A0_R1.txt,187,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,188,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,189,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,190,-45
Fase 1,A0,U1,BASE,T1,A0_R1.txt,191,-45
Fase 1,A0,U1,BASE,T1,A0_R1.txt,192,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,193,-45
Fase 1,A0,U1,BASE,T1,A0_R1.txt,194,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,195,-45
Fase 1,A0,U1,BASE,T1,A0_R1.txt,196,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,197,-45
Fase 1,A0,U1,BASE,T1,A0_R1.txt,198,-45
Fase 1,A0,U1,BASE,T1,A0_R1.txt,199,-45
Fase 1,A0,U1,BASE,T1,A0_R1.txt,200,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,201,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,202,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,203,-42
Fase 1,A0,U1,BASE,T1,A0_R1.txt,204,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,205,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,206,-46
Fase 1,A0,U1,BASE,T1,A0_R1.txt,207,-46
Fase 1,A0,U1,BASE,T1,A0_R1.txt,208,-45
Fase 1,A0,U1,BASE,T1,A0_R1.txt,209,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,210,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,211,-42
Fase 1,A0,U1,BASE,T1,A0_R1.txt,212,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,213,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,214,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,215,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,216,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,217,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,218,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,219,-46
Fase 1,A0,U1,BASE,T1,A0_R1.txt,220,-45
Fase 1,A0,U1,BASE,T1,A0_R1.txt,221,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,222,-44
