arquivo,basename,antena,unidade,teste,ensaio,tempo_abs_ms,tempo_rel_s,status,latencia_ms,ip,channel,bssid,rssi_link_dbm,reason
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,438905,421.689,OK,3.61,192.168.15.1,11,84:0B:BB:2A:35:70,-47.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,443061,425.845,OK,5.02,192.168.15.1,11,84:0B:BB:2A:35:70,-47.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,447338,430.122,OK,3.12,192.168.15.1,11,84:0B:BB:2A:35:70,-45.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,451462,434.246,OK,2.95,192.168.15.1,11,84:0B:BB:2A:35:70,-45.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,455599,438.383,OK,4.47,192.168.15.1,11,84:0B:BB:2A:35:70,-42.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,459749,442.533,OK,5.46,192.168.15.1,11,84:0B:BB:2A:35:70,-44.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,463892,446.676,OK,5.25,192.168.15.1,11,84:0B:BB:2A:35:70,-48.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,468050,450.834,OK,5.1,192.168.15.1,11,84:0B:BB:2A:35:70,-45.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,472189,454.973,OK,3.42,192.168.15.1,11,84:0B:BB:2A:35:70,-46.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,476338,459.122,OK,5.42,192.168.15.1,11,84:0B:BB:2A:35:70,-47.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,480498,463.282,OK,4.67,192.168.15.1,11,84:0B:BB:2A:35:70,-55.0,
Ping_A4_U1_T2.txt,Ping_A4_U1_T2,A4,U1,T2,A4_U1_T2,17058,0.0,OK,8.72,192.168.15.1,11,84:0B:BB:2A:35:70,-47.0,
